leave_balance_id,employee_id,leave_type,total_days,used_days,remaining_days,year,updated_at
LB0357,EMP090,Personal Leave,6,1,5,2026,2026-09-19T16:15:00
LB0358,EMP090,Parental Leave,30,17,13,2026,2026-09-01T15:15:00
LB0359,EMP091,Annual Leave,25,12,13,2026,2026-09-10T09:45:00
LB0360,EMP091,Sick Leave,15,7,8,2026,2026-09-05T12:15:00
LB0361,EMP091,Personal Leave,5,5,0,2026,2026-09-05T14:45:00
LB0362,EMP091,Parental Leave,15,14,1,2026,2026-09-20T15:45:00
LB0363,EMP092,Annual Leave,30,8,22,2026,2026-09-23T14:00:00
LB0364,EMP092,Sick Leave,12,11,1,2026,2026-09-18T17:00:00
LB0365,EMP092,Personal Leave,3,1,2,2026,2026-09-22T13:15:00
LB0366,EMP092,Parental Leave,30,19,11,2026,2026-09-02T17:45:00
LB0367,EMP093,Annual Leave,25,12,13,2026,2026-09-14T09:00:00
LB0368,EMP093,Sick Leave,10,4,6,2026,2026-09-08T16:15:00
LB0369,EMP093,Personal Leave,5,2,3,2026,2026-09-13T15:15:00
LB0370,EMP093,Parental Leave,20,0,20,2026,2026-09-16T09:30:00
LB0371,EMP094,Annual Leave,25,1,24,2026,2026-09-04T10:30:00
LB0372,EMP094,Sick Leave,12,5,7,2026,2026-09-15T11:45:00
LB0373,EMP094,Personal Leave,5,3,2,2026,2026-09-04T15:45:00
LB0374,EMP094,Parental Leave,20,2,18,2026,2026-09-10T08:00:00
LB0375,EMP095,Annual Leave,20,5,15,2026,2026-09-21T09:15:00
LB0376,EMP095,Sick Leave,15,3,12,2026,2026-09-17T10:15:00
LB0377,EMP095,Personal Leave,5,4,1,2026,2026-09-14T15:15:00
LB0378,EMP095,Parental Leave,20,20,0,2026,2026-09-06T10:45:00
LB0379,EMP096,Annual Leave,25,0,25,2026,2026-09-24T17:15:00
LB0380,EMP096,Sick Leave,12,9,3,2026,2026-09-14T14:00:00
LB0381,EMP096,Personal Leave,6,1,5,2026,2026-09-07T12:00:00
LB0382,EMP096,Parental Leave,30,3,27,2026,2026-09-18T10:30:00
LB0383,EMP097,Annual Leave,25,3,22,2026,2026-09-15T09:30:00
LB0384,EMP097,Sick Leave,15,7,8,2026,2026-09-17T13:45:00
LB0385,EMP097,Personal Leave,6,3,3,2026,2026-09-19T09:30:00
LB0386,EMP097,Parental Leave,20,14,6,2026,2026-09-20T10:30:00
LB0387,EMP098,Annual Leave,30,9,21,2026,2026-09-03T10:30:00
LB0388,EMP098,Sick Leave,10,3,7,2026,2026-09-10T09:15:00
LB0389,EMP098,Personal Leave,5,5,0,2026,2026-09-05T16:45:00
LB0390,EMP098,Parental Leave,20,19,1,2026,2026-09-05T17:45:00
LB0391,EMP099,Annual Leave,25,2,23,2026,2026-09-16T16:15:00
LB0392,EMP099,Sick Leave,15,2,13,2026,2026-09-16T12:15:00
LB0393,EMP099,Personal Leave,3,2,1,2026,2026-09-15T17:00:00
LB0394,EMP099,Parental Leave,20,0,20,2026,2026-09-16T10:15:00
LB0395,EMP100,Annual Leave,25,8,17,2026,2026-09-17T15:45:00
LB0396,EMP100,Sick Leave,15,7,8,2026,2026-09-14T15:45:00
LB0397,EMP100,Personal Leave,3,0,3,2026,2026-09-19T08:15:00
LB0398,EMP100,Parental Leave,20,1,19,2026,2026-09-09T11:30:00
